CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG
00-1-000000,-19.8304,264.757,-19.8905,264.665,940.96,21.3179,975.874,905.968,0.371666,1.07716,35.9919,0.00788792,0.00842373,0.63675,0.560417,0.373749,0.00208495,0.000968482,0.568712,8088
00-1-000001,44.7763,328.602,44.4083,329.046,249.84,5.99621,289.44,245.786,0.528111,1.17761,127.003,0.0111776,0.0151013,1.05278,0.209035,0.357296,0.00510045,0.00439887,0.627328,2785
00-1-000002,57.0866,82.0995,56.9,81.6464,599.778,21.579,632.571,561.435,0.460721,1.1267,149.162,0.0084645,0.0195153,0.776149,0.747352,0.374057,0.00309534,0.00203974,0.492373,5199
00-1-000003,1.96124,230.622,1.95072,230.588,558.762,14.1819,568.529,546.378,0.276416,1.04054,133.691,0.00707867,0.00783918,0.526945,0.532872,1.26271,0.00449557,0.0014,0.595221,4341
00-1-000004,-49.1496,266.347,-49.1833,266.353,654.332,17.5097,665.24,636.578,0.290365,1.04502,87.6468,0.00882679,0.0177327,0.568958,0.758631,1.38353,0.00462588,0.00153291,0.545924,5933
00-1-000005,-35.6024,208.486,-35.6221,208.49,505.312,12.8472,505.313,500.675,0.135169,1.00926,16.1189,0.00929176,0.010565,0.580106,0.827589,6.22741,0.0146167,0.00203114,0.557812,4433
00-1-000006,18.5231,175.55,18.5238,175.529,613.901,14.9925,630.708,599.553,0.31041,1.05196,8.9925,0.00603849,0.00764746,0.521808,0.41113,0.820895,0.00312823,0.00113041,0.621607,5143
00-1-000007,26.8611,149.162,26.8529,149.169,634.744,11.4685,638.324,629.685,0.163971,1.01372,168.301,0.00571334,0.0064757,0.403332,0.413216,2.46237,0.00540635,0.000923478,0.615811,5186
00-1-000008,-4.38375,202.528,-4.38541,202.558,429.664,15.636,430.221,426.394,0.133084,1.00898,80.0141,0.00799754,0.00854882,0.61135,0.618142,7.19803,0.0149834,0.00204822,0.741016,4076
00-1-000009,-32.6805,163.988,-32.7338,164.036,333.895,7.86563,355.845,319.81,0.438496,1.11268,72.0582,0.00682457,0.00657751,0.56011,0.367713,0.567546,0.00359057,0.00216889,0.585515,1559
00-1-000010,-57.2082,135.54,-57.2019,135.522,318.375,6.49627,324.868,312.342,0.275005,1.0401,28.5855,0.00580158,0.0114012,0.516221,0.411108,1.55657,0.0069355,0.00214609,0.739815,1664
00-1-000011,-55.8051,314.334,-55.8185,314.298,354.103,11.2012,361.984,337.898,0.358677,1.07128,106.197,0.0122755,0.0249771,0.748079,1.11679,2.24585,0.00946967,0.00417588,0.497896,1155
00-1-000012,-52.6979,177.587,-52.2431,178.169,2491.87,63.3979,2612.57,2373.25,0.418111,1.10084,155.272,0.0438573,0.0785313,3.49489,3.17211,0.67804,0.00373215,0.00208173,0.797656,1267
00-1-000013,8.25292,28.416,7.40101,28.2932,907.122,36.8429,959.59,746.815,0.627936,1.28491,174.121,0.192472,0.140802,10.5605,18.9616,2.45127,0.0266924,0.0355566,0.5101,17
00-1-000014,-22.442,344.611,-22.4573,344.529,659.206,29.9805,735.903,573.493,0.626644,1.28319,9.63469,0.100461,0.111687,7.504,7.43469,2.20945,0.015985,0.0211645,0.805077,15
